Date,Precipitation,Avg. Max Temp,Avg. Min Temp,Avg. Mean Temp
Jan-01,3.03,37.6,16.4,27
Feb-01,1.68,42.5,24.8,33.6
Mar-01,4.49,46.1,28.3,37.2
Apr-01,1.66,62.9,39.1,51
May-01,4.22,73,49.6,61.3
Jun-01,2.67,82,58.5,70.3
Jul-01,2.19,81.7,58.1,69.9
Aug-01,3.02,85.6,62.6,74.1
Sep-01,3.54,75.9,50,63
Oct-01,0.38,67.3,39.4,53.4
Nov-01,0.79,60.6,33.3,46.9
Dec-01,2.24,49.5,28.1,38.8
Jan-02,2.53,45.4,23.6,34.5
Feb-02,0.59,48.9,22.4,35.6
Mar-02,3.94,52.9,30.2,41.5
Apr-02,3.27,64.7,39.4,52
May-02,5.47,69.8,45.1,57.4
Jun-02,3.85,81.3,57,69.2
Jul-02,1,87.9,62.4,75.1
Aug-02,4.62,87.8,63.3,75.6
Sep-02,4.3,79,54.1,66.5
Oct-02,5.11,62.2,42.1,52.1
Nov-02,4.46,51.3,31.5,41.4
Dec-02,3.83,40.7,22,31.4
Jan-03,2.27,32.6,17.8,25.2
Feb-03,2.96,35.2,17,26.1
Mar-03,4.55,52.5,28.6,40.5
Apr-03,2.31,59.2,37.4,48.3
May-03,3.32,66.9,47.9,57.4
Jun-03,7.83,77.1,56.3,66.7
Jul-03,M,M,M,M
Aug-03,2.97,84.5,64.3,74.4
Sep-03,5.05,75.4,56.7,66.1
Oct-03,5.45,63.6,39.5,51.5
Nov-03,4.2,57.1,37.5,47.3
Dec-03,5.57,43.7,25.8,34.8
Jan-04,1.67,31.1,15.9,23.5
Feb-04,0.21,43.7,22.7,33.2
Mar-04,3.15,51.7,32.4,42
Apr-04,5.4,64,40.9,52.4
May-04,4.44,77.1,53.6,65.3
Jun-04,2.31,79.7,56.6,68.2
Jul-04,13.4,82.9,62.1,72.5
Aug-04,3.77,82.1,61.6,71.8
Sep-04,5.7,78.1,55.9,67
Oct-04,1.04,63.3,42.2,52.8
Nov-04,4.17,55.9,34.5,45.2
Dec-04,2.13,43.4,25,34.2
Jan-05,3.98,36.6,19.6,28.1
Feb-05,2.7,43.4,22.4,32.9
Mar-05,4.4,46.1,25.5,35.8
Apr-05,4.04,66.7,38.2,52.5
May-05,1.14,69.6,43.2,56.4
Jun-05,3.6,84.4,60.2,72.3
Jul-05,2.78,87,65,76
Aug-05,0.93,88.6,65.2,76.9
Sep-05,2.57,83,54.4,68.7
Oct-05,12.06,64.9,46.1,55.5
Nov-05,4.07,57.8,32.8,45.3
Dec-05,3.38,39.5,20.4,29.9
Jan-06,5.1,47.2,26.6,36.9
Feb-06,1.43,43,22,32.5
Mar-06,0.66,52.5,30.2,41.3
Apr-06,3.73,66.5,38.7,52.6
May-06,3.52,74.1,47.9,61
Jun-06,9.43,80.3,59.6,70
Jul-06,6.23,88,64.9,76.4
Aug-06,2.46,84.5,62.1,73.3
Sep-06,4.08,74.3,52.7,63.5
Oct-06,5.32,64.6,40.5,52.6
Nov-06,5.23,59.3,39.2,49.2
Dec-06,2.24,50.9,29.5,40.2
Jan-07,3.49,43.5,25.9,34.7
Feb-07,1.48,34.8,17.6,26.2
Mar-07,4.19,52.5,28.2,40.4
Apr-07,9.48,59,37.9,48.5
May-07,1.29,77.2,47.4,62.3
Jun-07,3.84,82,57.6,69.8
Jul-07,6.11,84,61.2,72.6
Aug-07,6.41,83,61.5,72.3
Sep-07,1.22,80.4,53.1,66.8
Oct-07,5.73,72.8,49.1,61
Nov-07,3,51.6,31,41.3
Dec-07,6.47,41.1,26.8,33.9
Jan-08,2.05,42.2,22.2,32.2
Feb-08,6.45,42.4,23.6,33
Mar-08,5.43,51.7,30,40.9
Apr-08,2.39,64.7,40.4,52.5
May-08,4.01,69.8,43.6,56.7
Jun-08,2.43,84.7,58.6,71.7
Jul-08,5.21,87.1,62.5,74.8
Aug-08,0.91,83.4,56.2,69.8
Sep-08,6.68,77.7,55.3,66.5
Oct-08,3.07,64.6,37.8,51.2
Nov-08,2.76,54.6,36.8,45.7
Dec-08,6.11,43.4,25,34.2
Jan-09,2.62,33.5,15.3,24.4
Feb-09,0.58,44.7,22.6,33.6
Mar-09,1.6,51,28.7,39.8
Apr-09,2.68,64,38.9,51.4
May-09,4.83,72.1,49.4,60.5
Jun-09,6.56,76.8,57.4,67.1
Jul-09,9.58,82.3,59,70.6
Aug-09,12.21,83.7,63.8,73.8
Sep-09,4.15,74.7,53.1,63.9
Oct-09,9.1,61.3,42.2,51.8
Nov-09,1.43,57.8,37.1,47.4
Dec-09,6.13,41.4,24.9,33.1
Jan-10,2.62,38.5,20.9,29.7
Feb-10,3.29,38.5,22.3,30.3
Mar-10,9.56,57,34.6,45.8
Apr-10,M,M,M,M
May-10,3.16,75.4,50.5,63
Jun-10,2.9,84.5,59.3,71.9
Jul-10,5.46,89.4,64.1,76.7
Aug-10,0.81,85.6,61.5,73.5
Sep-10,2.92,80.1,54,67
Oct-10,1.94,65.9,40.7,53.3
Nov-10,2.37,54.4,31.3,42.8
Dec-10,2.88,37.3,21.6,29.4
Jan-11,2.79,33.7,13.4,23.5
Feb-11,3.3,43.3,19.3,31.3
