,period,stateid,stateDescription,sectorid,sectorName,customers,sales,customers-units,sales-units
0,2024-07,NJ,New Jersey,RES,residential,3726178,4281.43278,number of customers,million kilowatt hours
1,2024-06,NJ,New Jersey,RES,residential,3737560,3348.55593,number of customers,million kilowatt hours
2,2024-05,NJ,New Jersey,RES,residential,3725530,2144.62638,number of customers,million kilowatt hours
3,2024-04,NJ,New Jersey,RES,residential,3727688,1840.4786,number of customers,million kilowatt hours
4,2024-03,NJ,New Jersey,RES,residential,3710011,1825.92001,number of customers,million kilowatt hours
5,2024-02,NJ,New Jersey,RES,residential,3720034,2150.4948,number of customers,million kilowatt hours
6,2024-01,NJ,New Jersey,RES,residential,3697259,2560.04823,number of customers,million kilowatt hours
7,2023-12,NJ,New Jersey,RES,residential,3719353,2288.28584,number of customers,million kilowatt hours
8,2023-11,NJ,New Jersey,RES,residential,3714396,1953.21047,number of customers,million kilowatt hours
9,2023-10,NJ,New Jersey,RES,residential,3706181,1878.70741,number of customers,million kilowatt hours
10,2023-09,NJ,New Jersey,RES,residential,3703413,2592.37898,number of customers,million kilowatt hours
11,2023-08,NJ,New Jersey,RES,residential,3714448,3278.33092,number of customers,million kilowatt hours
12,2023-07,NJ,New Jersey,RES,residential,3707537,3969.22588,number of customers,million kilowatt hours
13,2023-06,NJ,New Jersey,RES,residential,3690330,2555.33971,number of customers,million kilowatt hours
14,2023-05,NJ,New Jersey,RES,residential,3693423,1862.08882,number of customers,million kilowatt hours
15,2023-04,NJ,New Jersey,RES,residential,3692208,1675.75443,number of customers,million kilowatt hours
16,2023-03,NJ,New Jersey,RES,residential,3689265,2049.11479,number of customers,million kilowatt hours
17,2023-02,NJ,New Jersey,RES,residential,3691687,2041.18763,number of customers,million kilowatt hours
18,2023-01,NJ,New Jersey,RES,residential,3687847,2285.02413,number of customers,million kilowatt hours
19,2022-12,NJ,New Jersey,RES,residential,3685152,2456.36299,number of customers,million kilowatt hours
20,2022-11,NJ,New Jersey,RES,residential,3684666,1852.56297,number of customers,million kilowatt hours
21,2022-10,NJ,New Jersey,RES,residential,3681735,1633.9079,number of customers,million kilowatt hours
22,2022-09,NJ,New Jersey,RES,residential,3684170,2417.13795,number of customers,million kilowatt hours
23,2022-08,NJ,New Jersey,RES,residential,3682346,4026.18402,number of customers,million kilowatt hours
24,2022-07,NJ,New Jersey,RES,residential,3684047,4172.12541,number of customers,million kilowatt hours
25,2022-06,NJ,New Jersey,RES,residential,3693221,2787.00783,number of customers,million kilowatt hours
26,2022-05,NJ,New Jersey,RES,residential,3665497,2152.20312,number of customers,million kilowatt hours
27,2022-04,NJ,New Jersey,RES,residential,3657277,1761.79505,number of customers,million kilowatt hours
28,2022-03,NJ,New Jersey,RES,residential,3674026,1938.88845,number of customers,million kilowatt hours
29,2022-02,NJ,New Jersey,RES,residential,3655821,2128.74468,number of customers,million kilowatt hours
30,2022-01,NJ,New Jersey,RES,residential,3658849,2735.27162,number of customers,million kilowatt hours
31,2021-12,NJ,New Jersey,RES,residential,3671474,2242.44014,number of customers,million kilowatt hours
32,2021-11,NJ,New Jersey,RES,residential,3668085,1919.15629,number of customers,million kilowatt hours
33,2021-10,NJ,New Jersey,RES,residential,3667656,1868.03866,number of customers,million kilowatt hours
34,2021-09,NJ,New Jersey,RES,residential,3667110,2595.7406,number of customers,million kilowatt hours
35,2021-08,NJ,New Jersey,RES,residential,3662524,3746.76116,number of customers,million kilowatt hours
36,2021-07,NJ,New Jersey,RES,residential,3664871,3769.61288,number of customers,million kilowatt hours
37,2021-06,NJ,New Jersey,RES,residential,3657707,3175.17587,number of customers,million kilowatt hours
38,2021-05,NJ,New Jersey,RES,residential,3652863,2016.44984,number of customers,million kilowatt hours
39,2021-04,NJ,New Jersey,RES,residential,3649943,1775.58497,number of customers,million kilowatt hours
40,2021-03,NJ,New Jersey,RES,residential,3542527,2143.25484,number of customers,million kilowatt hours
41,2021-02,NJ,New Jersey,RES,residential,3639231,2225.32074,number of customers,million kilowatt hours
42,2021-01,NJ,New Jersey,RES,residential,3642958,2612.83501,number of customers,million kilowatt hours
43,2020-12,NJ,New Jersey,RES,residential,3635876,2459.93115,number of customers,million kilowatt hours
44,2020-11,NJ,New Jersey,RES,residential,3634980,1907.93412,number of customers,million kilowatt hours
45,2020-10,NJ,New Jersey,RES,residential,3636439,1779.02143,number of customers,million kilowatt hours
46,2020-09,NJ,New Jersey,RES,residential,3625469,2532.35959,number of customers,million kilowatt hours
47,2020-08,NJ,New Jersey,RES,residential,3618680,3737.37844,number of customers,million kilowatt hours
48,2020-07,NJ,New Jersey,RES,residential,3617520,4327.14252,number of customers,million kilowatt hours
49,2020-06,NJ,New Jersey,RES,residential,3619015,2885.3764,number of customers,million kilowatt hours
50,2020-05,NJ,New Jersey,RES,residential,3605911,2017.94748,number of customers,million kilowatt hours
51,2020-04,NJ,New Jersey,RES,residential,3602868,1943.75675,number of customers,million kilowatt hours
52,2020-03,NJ,New Jersey,RES,residential,3610061,1847.26075,number of customers,million kilowatt hours
53,2020-02,NJ,New Jersey,RES,residential,3609468,1964.06839,number of customers,million kilowatt hours
54,2020-01,NJ,New Jersey,RES,residential,3606761,2274.67998,number of customers,million kilowatt hours
55,2019-12,NJ,New Jersey,RES,residential,3607161,2289.13686,number of customers,million kilowatt hours
56,2019-11,NJ,New Jersey,RES,residential,3614851,1871.55459,number of customers,million kilowatt hours
57,2019-10,NJ,New Jersey,RES,residential,3600258,1805.19549,number of customers,million kilowatt hours
58,2019-09,NJ,New Jersey,RES,residential,3606683,2501.00642,number of customers,million kilowatt hours
59,2019-08,NJ,New Jersey,RES,residential,3600238,3397.64088,number of customers,million kilowatt hours
60,2019-07,NJ,New Jersey,RES,residential,3607609,3984.99134,number of customers,million kilowatt hours
61,2019-06,NJ,New Jersey,RES,residential,3592363,2638.15533,number of customers,million kilowatt hours
62,2019-05,NJ,New Jersey,RES,residential,3594206,1860.29484,number of customers,million kilowatt hours
63,2019-04,NJ,New Jersey,RES,residential,3591427,1623.72741,number of customers,million kilowatt hours
64,2019-03,NJ,New Jersey,RES,residential,3587480,2094.76419,number of customers,million kilowatt hours
65,2019-02,NJ,New Jersey,RES,residential,3577795,2084.187,number of customers,million kilowatt hours
66,2019-01,NJ,New Jersey,RES,residential,3581944,2461.90064,number of customers,million kilowatt hours
67,2018-12,NJ,New Jersey,RES,residential,3581326,2268.06515,number of customers,million kilowatt hours
68,2018-11,NJ,New Jersey,RES,residential,3579880,1914.29878,number of customers,million kilowatt hours
69,2018-10,NJ,New Jersey,RES,residential,3575540,1969.25532,number of customers,million kilowatt hours
70,2018-09,NJ,New Jersey,RES,residential,3575031,2735.60656,number of customers,million kilowatt hours
71,2018-08,NJ,New Jersey,RES,residential,3575948,3814.16556,number of customers,million kilowatt hours
72,2018-07,NJ,New Jersey,RES,residential,3573858,3678.79463,number of customers,million kilowatt hours
